,b,h,d,d',L,l,a,fck,As,fy,As',fy',carbon,PBO,glass,CFRP,basalt,ff,Af,layer,mesh(long),mesh(lat),type
0,5.0,0.0,-0.10778443113772455,0.43902439024390244,0.0,0.0,-0.3125,0.5867683731846853,3047.0000000001737,0.1205629397967149,2.2998090388287715,0.043271028037383134,1.0,0.0,0.0,0.0,0.0,0.0,2.2180714452486576,0.0,0.0,0.0,0.0
1,-0.98,-0.48,-0.40718562874251496,-0.07317073170731707,-0.5471698113207547,-0.5833333333333334,-0.84375,-0.4870177497432889,-566.0000000000322,0.8375293197810775,0.8001273074474856,0.11401869158878504,1.0,0.0,0.0,0.0,0.0,-0.4670932358318099,1.9481671725426104,0.5,0.0,0.0,1.0
2,-0.6,-1.15,-1.0791616766467065,-0.7804878048780488,-0.6792452830188679,-0.75,-1.25,0.7152706469121313,-145.00000000000824,1.0095387021110227,-0.6397199236155315,-0.9345794392523364,1.0,0.0,0.0,0.0,0.0,0.5633759902498476,0.010273173009572676,0.5,0.0,0.0,0.0
3,0.0,0.0,0.09580838323353294,0.0,0.4528301886792453,0.4166666666666667,0.15625,-0.4095643244829104,-1.0,0.16356528537920118,0.0001909611712285241,0.0665420560747664,0.0,1.0,0.0,0.0,0.0,0.8375990249847654,1.1244454821386878,0.5,0.0,0.8333333333333334,0.0
4,0.0,0.0,0.0,0.21951219512195122,0.0,0.0,0.0,1.1735367463693707,0.0,-0.24143862392494203,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8375990249847654,-0.29978986691571335,0.0,1.4285714285714286,0.4166666666666667,1.0
5,1.0,0.5,0.5209580838323353,-0.7804878048780488,1.2075471698113207,1.3333333333333333,1.328125,-0.5046208009388294,1963.0000000001114,-1.1796716184519156,-0.6397199236155315,-0.9345794392523364,1.0,0.0,0.0,0.0,0.0,-0.07647775746496038,2.259164137286948,-0.5,0.7142857142857143,1.6666666666666667,1.0
6,-0.6,-1.15,-1.0791616766467065,-0.7804878048780488,-0.6792452830188679,-0.75,-1.25,0.7152706469121313,-145.00000000000824,1.0095387021110227,-0.6397199236155315,-0.9345794392523364,0.0,0.0,1.0,0.0,0.0,-0.38452163315051796,1.7146859677795938,3.5,-0.2857142857142857,-0.16666666666666666,0.0
7,7.0,0.5,0.6467065868263473,-0.2926829268292683,-0.22641509433962265,-0.25,0.3125,0.0,0.0,-0.006880375293198659,0.0,0.06542056074766354,1.0,0.0,0.0,0.0,0.0,0.5329067641681902,0.550081718421667,0.0,0.0,0.0,1.0
8,-0.6,-1.0,-0.9461077844311377,-0.7804878048780488,-1.0867924528301887,-1.1166666666666667,-1.546875,0.0,0.0,-4.776231430805314,-0.6397199236155315,-0.9345794392523364,1.0,0.0,0.0,0.0,0.0,0.39945155393053017,0.21947233247723555,0.0,0.0,0.0,1.0
9,1.0,0.5,0.46107784431137727,-0.7804878048780488,1.2075471698113207,1.3333333333333333,1.328125,-0.5046208009388294,8246.00000000047,-0.8982017200938235,-0.6397199236155315,-0.9345794392523364,1.0,0.0,0.0,0.0,0.0,-0.015539305301645339,0.09245855708615443,-0.5,1.4285714285714286,0.8333333333333334,1.0
10,-0.98,-0.48,-0.40718562874251496,-0.07317073170731707,-0.5471698113207547,-0.5833333333333334,-0.84375,-0.5926360569165323,-566.0000000000322,0.8375293197810775,0.8001273074474856,0.11401869158878504,1.0,0.0,0.0,0.0,0.0,-0.4670932358318099,0.1382208732197057,-0.5,0.0,0.0,0.0
11,-0.6,-1.15,-1.0791616766467065,-0.7804878048780488,-0.6792452830188679,-0.75,-1.25,0.7152706469121313,-145.00000000000824,1.0095387021110227,-0.6397199236155315,-0.9345794392523364,1.0,0.0,0.0,0.0,0.0,0.5633759902498476,0.7863646976418397,2.0,0.0,0.0,0.0
