,b,h,d,d',L,l,a,fck,As,fy,As',fy',carbon,PBO,glass,CFRP,basalt,ff,Af,layer,mesh(long),mesh(lat),type
0,0.12280701754385964,0.3150684931506849,0.2932862190812721,0.66,0.5930232558139534,0.5859872611464967,0.5767195767195767,0.09534883720930232,0.2709940989559691,0.8255135135135135,0.3399740147249891,0.9302852049910875,0.0,1.0,0.0,0.0,0.0,1.0,0.0263671875,0.1,0.4,0.6060606060606061,0.0
1,0.047619047619047616,0.0,0.0,0.0,0.15697674418604657,0.14012738853503184,0.10052910052910058,0.740531561461794,0.047775760326827024,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.308448275862069,0.034609375,0.30000000000000004,0.32,0.24242424242424246,0.0
2,0.17293233082706766,0.4520547945205479,0.42617257104889616,0.8,0.5930232558139534,0.5859872611464967,0.5767195767195767,0.26910299003322263,0.06423059464366769,0.7297297297297298,0.3401905586834127,0.8556149732620323,0.0,0.0,0.0,1.0,0.0,0.7413793103448276,0.031640625,0.30000000000000004,0.68,1.0,0.0
3,0.047619047619047616,0.0410958904109589,0.03355380387182506,0.0,0.0,0.0,0.0,0.3355481727574751,0.06423059464366769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.18356164383561652,0.16946030020234965,0.58,0.2078488372093023,0.20382165605095537,0.23809523809523814,0.0,0.0,0.9702702702702702,0.48982243395409264,1.0,1.0,0.0,0.0,0.0,0.0,0.2617241379310345,0.1135546875,0.30000000000000004,0.4,0.30303030303030304,0.0
5,0.12280701754385964,0.3150684931506849,0.2721452085409682,0.8200000000000001,0.4186046511627907,0.42675159235668786,0.5238095238095238,0.3355481727574751,0.24251021334543799,0.7837837837837837,0.21762667821567774,0.8912655971479503,0.0,0.0,1.0,0.0,0.0,0.4482758620689656,0.020703125000000003,0.2,0.728,0.4303030303030303,1.0
6,0.24812030075187969,0.4520547945205479,0.38842076651263935,0.0,0.8837209302325582,0.9363057324840764,0.9735449735449735,0.04983388704318936,1.0,0.6702702702702703,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.48275862068965525,0.1265625,0.1,0.6,0.9090909090909092,1.0
7,0.047619047619047616,0.0,0.0,0.0,0.15697674418604657,0.14012738853503184,0.10052910052910058,0.740531561461794,0.047775760326827024,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8448275862068966,0.010820312499999998,0.1,0.4,0.30303030303030304,0.0
8,0.12280701754385964,0.3150684931506849,0.2721452085409682,0.8200000000000001,0.4186046511627907,0.42675159235668786,0.5238095238095238,0.3355481727574751,0.06423059464366769,0.7837837837837837,0.21762667821567774,0.8912655971479503,0.0,0.0,1.0,0.0,0.0,0.4482758620689656,0.04140624999999999,0.4,0.728,0.4303030303030303,1.0
9,0.0,0.18356164383561652,0.16946030020234965,0.58,0.2078488372093023,0.20382165605095537,0.23809523809523814,0.0,0.0,0.9702702702702702,0.48982243395409264,1.0,0.0,0.0,1.0,0.0,0.0,0.136896551724138,0.122734375,0.7000000000000001,0.48,0.36363636363636365,0.0
10,0.12280701754385964,0.3150684931506849,0.2721452085409682,0.8200000000000001,0.4186046511627907,0.42675159235668786,0.5238095238095238,0.3355481727574751,0.24251021334543799,0.7837837837837837,0.21762667821567774,0.8912655971479503,1.0,0.0,0.0,0.0,0.0,0.8275862068965518,0.01953125,0.2,0.4,0.30303030303030304,1.0
11,0.047619047619047616,0.0410958904109589,0.03355380387182506,0.0,0.0,0.0,0.0,0.3355481727574751,0.06423059464366769,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7520689655172415,0.01890625,0.1,0.4,0.30303030303030304,0.0
12,0.24812030075187969,1.0,1.0,1.0,1.0,1.0,1.0,0.9368770764119603,0.06411711302768948,0.8302702702702703,0.3399740147249891,0.9219251336898399,0.0,1.0,0.0,0.0,0.0,1.0,0.035546875,0.1,0.4,0.6060606060606061,1.0
13,1.0,0.4520547945205479,0.4352330041375978,0.4,0.3313953488372093,0.33121019108280253,0.6296296296296297,0.3355481727574751,0.06423059464366769,0.8243243243243242,0.21762667821567774,0.9536541889483068,0.0,0.0,1.0,0.0,0.0,0.4482758620689656,0.055078125,0.2,0.56,0.5454545454545454,0.0
14,0.047619047619047616,0.0,0.0,0.0,0.15697674418604657,0.14012738853503184,0.10052910052910058,0.740531561461794,0.047775760326827024,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.308448275862069,0.034609375,0.30000000000000004,0.32,0.24242424242424246,0.0
15,0.12280701754385964,0.3150684931506849,0.2721452085409682,0.8200000000000001,0.4186046511627907,0.42675159235668786,0.5238095238095238,0.3355481727574751,0.06423059464366769,0.7837837837837837,0.21762667821567774,0.8912655971479503,1.0,0.0,0.0,0.0,0.0,0.8275862068965518,0.01953125,0.2,0.4,0.30303030303030304,1.0
16,0.0,0.18356164383561652,0.16946030020234965,0.58,0.2078488372093023,0.20382165605095537,0.23809523809523814,0.0,0.0,0.9702702702702702,0.48982243395409264,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.12280701754385964,0.3150684931506849,0.29630636344417266,0.64,0.5930232558139534,0.5859872611464967,0.5767195767195767,0.08272425249169435,0.06411711302768948,0.8537837837837837,0.2176916414032048,0.9547237076648843,0.0,1.0,0.0,0.0,0.0,1.0,0.0791015625,0.30000000000000004,0.4,0.6060606060606061,0.0
18,0.24812030075187969,0.4520547945205479,0.4035214883271421,0.0,0.8837209302325582,0.9363057324840764,0.9735449735449735,0.04983388704318936,0.2869950068088969,0.6216216216216217,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.48275862068965525,0.1265625,0.1,0.6,0.9090909090909092,1.0
19,0.12280701754385964,0.3150684931506849,0.2721452085409682,0.8200000000000001,0.4186046511627907,0.42675159235668786,0.5238095238095238,0.3355481727574751,0.24251021334543799,0.7837837837837837,0.21762667821567774,0.8912655971479503,0.0,0.0,1.0,0.0,0.0,0.4482758620689656,0.020703125000000003,0.2,0.728,0.4303030303030303,1.0
20,0.12280701754385964,0.1780821917808219,0.13623871221044365,0.72,0.3604651162790698,0.3630573248407643,0.47089947089947093,0.0033222591362126463,0.06423059464366769,0.43783783783783775,0.3401905586834127,0.663101604278075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.24812030075187969,0.4520547945205479,0.4035214883271421,0.0,0.8837209302325582,0.9363057324840764,0.9735449735449735,0.04983388704318936,0.2869950068088969,0.6216216216216217,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.48275862068965525,0.1265625,0.1,0.6,0.9090909090909092,0.0
22,0.12280701754385964,0.3150684931506849,0.2721452085409682,0.8200000000000001,0.4186046511627907,0.42675159235668786,0.5238095238095238,0.3355481727574751,0.06423059464366769,0.7837837837837837,0.21762667821567774,0.8912655971479503,1.0,0.0,0.0,0.0,0.0,0.8275862068965518,0.01953125,0.2,0.4,0.30303030303030304,1.0
23,0.047619047619047616,0.0,0.0,0.0,0.15697674418604657,0.14012738853503184,0.10052910052910058,0.740531561461794,0.047775760326827024,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8448275862068966,0.010820312499999998,0.1,0.4,0.30303030303030304,0.0
24,1.0,0.4520547945205479,0.4352330041375978,0.4,0.3313953488372093,0.33121019108280253,0.6296296296296297,0.3355481727574751,0.06423059464366769,0.8243243243243242,0.21762667821567774,0.9536541889483068,1.0,0.0,0.0,0.0,0.0,0.8275862068965518,0.055078125,0.2,0.4,0.30303030303030304,1.0
25,0.12280701754385964,0.3150684931506849,0.2721452085409682,0.8200000000000001,0.4186046511627907,0.42675159235668786,0.5238095238095238,1.0,0.06423059464366769,0.7837837837837837,0.21762667821567774,0.8912655971479503,0.0,1.0,0.0,0.0,0.0,1.0,0.01953125,0.2,0.8,0.4545454545454546,1.0
26,0.24812030075187969,1.0,1.0,1.0,1.0,1.0,1.0,0.9368770764119603,0.06411711302768948,0.8302702702702703,0.3399740147249891,0.9219251336898399,1.0,0.0,0.0,0.0,0.0,0.7448275862068966,0.03671875,0.1,0.4,0.30303030303030304,1.0
